model,MAE,RMSE,R2,best_params
HGB_fe,1304.1417305960456,2236.2348764622125,0.9473129167284454,"{'model__early_stopping': True, 'model__l2_regularization': 0.1198653673336828, 'model__learning_rate': 0.060642275710544195, 'model__max_iter': 573, 'model__max_leaf_nodes': 145, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 20, 'model__random_state': 42, 'model__validation_fraction': 0.1, 'vt__threshold': 0.01}"
RF_fe,1313.637767583062,2331.903083101755,0.9427674614629208,"{'model__bootstrap': False, 'model__max_depth': 21, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 249, 'vt__threshold': 0.01}"
Stack_fe,1368.9387736738825,2515.7820465707696,0.9333359542614902,"{'final_estimator__early_stopping': True, 'final_estimator__l2_regularization': 0.44583275285359114, 'final_estimator__learning_rate': 0.02499623737270043, 'final_estimator__max_depth': 5, 'final_estimator__max_iter': 287, 'final_estimator__max_leaf_nodes': 166, 'final_estimator__min_samples_leaf': 5, 'final_estimator__n_iter_no_change': 20, 'final_estimator__random_state': 42, 'final_estimator__validation_fraction': 0.1}"
ET_fe,1384.3626581388698,2515.159113666049,0.9333871023562339,"{'model__bootstrap': False, 'model__max_depth': 31, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 387, 'vt__threshold': 0.01}"
